Time Between Spawn;Time Between Spawn;;Money per Level;
C3:C22;Level Up;Time (s);Level M;Money
Money per Level;1;1,50;1;10
E3:E12;2;1,363636364;2;15
Max Monster Arena;3;1,239669421;3;20
B24:B24;4;1,126972201;4;25
;5;1,024520183;5;30
;6;0,931381985;6;35
;7;0,846710895;7;40
;8;0,769737177;8;45
;9;0,69976107;9;50
;10;0,636146428;10;55
;11;0,578314934;;5
;12;0,525740849;;
;13;0,477946227;;
;14;0,43449657;;
;15;0,394996881;;
;16;0,359088074;;
;17;0,326443704;;
;18;0,296767003;;
;19;0,269788185;;
;20;0,245261986;;
;Max Monster Arena;;;
;8;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
